EnglishProductName,ProductKey,NumberOfSold,UnitPrice,AmountSold
"ML Road Frame - Red, 52",276,0,NULL,NULL
"Road-450 Red, 52",319,0,NULL,NULL
Paint - Silver,173,0,NULL,NULL
"Full-Finger Gloves, S",468,0,NULL,NULL
Thin-Jam Lock Nut 5,107,0,NULL,NULL
Metal Bar 1,156,0,NULL,NULL
Lock Nut 11,130,0,NULL,NULL
"Half-Finger Gloves, S",462,0,NULL,NULL
External Lock Washer 6,87,0,NULL,NULL
"LL Touring Frame - Blue, 62",505,0,NULL,NULL
"LL Road Frame - Black, 60",256,0,NULL,NULL
ML Mountain Handlebars,399,0,NULL,NULL
ML Crankarm,7,0,NULL,NULL
LL Touring Seat Assembly,193,0,NULL,NULL
"HL Road Frame - Black, 48",442,0,NULL,NULL
"HL Mountain Frame - Black, 44",299,0,NULL,NULL
Lock Washer 12,150,0,NULL,NULL
Thin-Jam Hex Nut 7,50,0,NULL,NULL
Flat Washer 2,24,0,NULL,NULL
Thin-Jam Hex Nut 4,47,0,NULL,NULL
Hex Nut 21,70,0,NULL,NULL
"HL Road Frame - Red, 62",239,0,NULL,NULL
HL Mountain Handlebars,402,0,NULL,NULL
Internal Lock Washer 9,93,0,NULL,NULL
"Sport-100 Helmet, Black",216,0,NULL,NULL
Touring Rear Wheel,425,0,NULL,NULL
Touring Pedal,548,0,NULL,NULL
"LL Mountain Frame - Silver, 44",525,0,NULL,NULL
"Long-Sleeve Logo Jersey, L",233,0,NULL,NULL
Flat Washer 7,30,0,NULL,NULL
"LL Road Frame - Black, 44",279,0,NULL,NULL
"Road-450 Red, 60",316,0,NULL,NULL
HL Nipple,170,0,NULL,NULL
Pinch Bolt,176,0,NULL,NULL
LL Mountain Rear Wheel,419,0,NULL,NULL
Lock Washer 3,153,0,NULL,NULL
Thin-Jam Lock Nut 4,110,0,NULL,NULL
Chainring Nut,10,0,NULL,NULL
Lock Nut 21,133,0,NULL,NULL
"LL Touring Frame - Yellow, 54",508,0,NULL,NULL
LL Spindle/Axle,196,0,NULL,NULL
"Men's Sports Shorts, S",445,0,NULL,NULL
External Lock Washer 2,90,0,NULL,NULL
"LL Mountain Frame - Silver, 40",551,0,NULL,NULL
"LL Road Frame - Black, 58",253,0,NULL,NULL
Headset Ball Bearings,4,0,NULL,NULL
"HL Mountain Frame - Black, 42",296,0,NULL,NULL
Lock Nut 16,119,0,NULL,NULL
Headlights - Dual-Beam,451,0,NULL,NULL
Internal Lock Washer 6,96,0,NULL,NULL
"ML Mountain Frame - Black, 48",428,0,NULL,NULL
Lock Washer 4,142,0,NULL,NULL
"LL Road Frame - Black, 48",282,0,NULL,NULL
"HL Mountain Frame - Silver, 42",288,0,NULL,NULL
"HL Mountain Frame - Black, 38",305,0,NULL,NULL
"Mountain Bike Socks, L",219,0,NULL,NULL
LL Hub,79,0,NULL,NULL
ML Mountain Front Wheel,411,0,NULL,NULL
"LL Road Frame - Red, 48",265,0,NULL,NULL
"Mountain-300 Black, 40",365,0,NULL,NULL
Rear Brakes,514,0,NULL,NULL
Hex Nut 15,73,0,NULL,NULL
ML Grip Tape,36,0,NULL,NULL
"LL Mountain Frame - Black, 52",534,0,NULL,NULL
LL Fork,391,0,NULL,NULL
Reflector,179,0,NULL,NULL
"ML Mountain Frame-W - Silver, 40",511,0,NULL,NULL
Seat Stays,205,0,NULL,NULL
Chain Stays,13,0,NULL,NULL
Lock Nut 15,136,0,NULL,NULL
HL Touring Handlebars,554,0,NULL,NULL
"ML Road Frame-W - Yellow, 44",434,0,NULL,NULL
"HL Road Frame - Red, 44",242,0,NULL,NULL
Hex Nut 16,56,0,NULL,NULL
HL Shell,199,0,NULL,NULL
Minipump,448,0,NULL,NULL
Internal Lock Washer 8,99,0,NULL,NULL
"LL Road Frame - Black, 52",285,0,NULL,NULL
"LL Road Frame - Red, 44",262,0,NULL,NULL
Thin-Jam Lock Nut 11,116,0,NULL,NULL
"Men's Sports Shorts, L",454,0,NULL,NULL
Lock Nut 18,139,0,NULL,NULL
Metal Sheet 3,162,0,NULL,NULL
HL Road Handlebars,408,0,NULL,NULL
"HL Mountain Frame - Silver, 38",308,0,NULL,NULL
"ML Road Frame-W - Yellow, 42",431,0,NULL,NULL
Lock Nut 8,122,0,NULL,NULL
Hex Nut 19,76,0,NULL,NULL
HL Mountain Seat/Saddle,517,0,NULL,NULL
Stem,202,0,NULL,NULL
Hex Nut 8,59,0,NULL,NULL
ML Crankset,557,0,NULL,NULL
Front Derailleur Linkage,33,0,NULL,NULL
Thin-Jam Hex Nut 10,39,0,NULL,NULL
"LL Mountain Frame - Black, 42",531,0,NULL,NULL
Down Tube,16,0,NULL,NULL
HL Mountain Rim,182,0,NULL,NULL
Metal Plate 1,159,0,NULL,NULL
Thin-Jam Hex Nut 11,53,0,NULL,NULL
"HL Mountain Frame - Black, 46",302,0,NULL,NULL
"HL Road Frame - Red, 48",245,0,NULL,NULL
"HL Touring Frame - Yellow, 46",494,0,NULL,NULL
Metal Sheet 5,165,0,NULL,NULL
"HL Touring Frame - Blue, 46",497,0,NULL,NULL
"HL Road Frame - Red, 58",211,0,NULL,NULL
ML Mountain Seat Assembly,188,0,NULL,NULL
"LL Touring Frame - Blue, 54",503,0,NULL,NULL
Lock Nut 23,125,0,NULL,NULL
"Women's Tights, M",457,0,NULL,NULL
Hex Nut 1,65,0,NULL,NULL
Touring End Caps,19,0,NULL,NULL
"Road-450 Red, 44",317,0,NULL,NULL
HL Road Seat/Saddle,520,0,NULL,NULL
Paint - Black,171,0,NULL,NULL
ML Mountain Rear Wheel,420,0,NULL,NULL
Flat Washer 9,25,0,NULL,NULL
"LL Road Frame - Red, 60",271,0,NULL,NULL
"HL Road Frame - Black, 44",440,0,NULL,NULL
Thin-Jam Lock Nut 15,105,0,NULL,NULL
"Men's Bib-Shorts, M",460,0,NULL,NULL
External Lock Washer 5,85,0,NULL,NULL
Hex Nut 23,62,0,NULL,NULL
HL Bottom Bracket,603,0,NULL,NULL
Thin-Jam Hex Nut 15,42,0,NULL,NULL
"HL Mountain Frame - Silver, 44",291,0,NULL,NULL
LL Mountain Handlebars,397,0,NULL,NULL
Blade,5,0,NULL,NULL
"LL Road Frame - Black, 58",254,0,NULL,NULL
"HL Road Frame - Red, 52",248,0,NULL,NULL
Lock Washer 1,148,0,NULL,NULL
ML Road Pedal,546,0,NULL,NULL
Metal Tread Plate,168,0,NULL,NULL
"HL Touring Frame - Blue, 60",500,0,NULL,NULL
ML Road Seat Assembly,191,0,NULL,NULL
HL Touring Seat/Saddle,523,0,NULL,NULL
HL Road Rim,185,0,NULL,NULL
"LL Road Frame - Red, 58",268,0,NULL,NULL
Lock Nut 1,128,0,NULL,NULL
Flat Washer 1,22,0,NULL,NULL
"ML Road Frame-W - Yellow, 38",417,0,NULL,NULL
Thin-Jam Lock Nut 6,108,0,NULL,NULL
"ML Road Frame - Red, 44",274,0,NULL,NULL
External Lock Washer 3,82,0,NULL,NULL
"HL Road Frame - Red, 56",251,0,NULL,NULL
ML Road Front Wheel,414,0,NULL,NULL
"HL Road Frame - Black, 62",437,0,NULL,NULL
External Lock Washer 1,88,0,NULL,NULL
Tension Pulley,208,0,NULL,NULL
Thin-Jam Lock Nut 10,102,0,NULL,NULL
ML Mountain Handlebars,400,0,NULL,NULL
Thin-Jam Hex Nut 6,45,0,NULL,NULL
"HL Mountain Frame - Silver, 46",294,0,NULL,NULL
ML Mountain Pedal,543,0,NULL,NULL
Lock Washer 6,145,0,NULL,NULL
Bearing Ball,2,0,NULL,NULL
LL Headset,394,0,NULL,NULL
Thin-Jam Hex Nut 13,48,0,NULL,NULL
Hex Nut 3,71,0,NULL,NULL
LL Road Handlebars,403,0,NULL,NULL
Internal Lock Washer 5,94,0,NULL,NULL
"ML Mountain Frame - Black, 40",426,0,NULL,NULL
Lock Nut 5,117,0,NULL,NULL
"HL Road Frame - Red, 62",240,0,NULL,NULL
Mountain Pump,449,0,NULL,NULL
"ML Mountain Frame-W - Silver, 38",549,0,NULL,NULL
"LL Mountain Frame - Silver, 48",526,0,NULL,NULL
"LL Road Frame - Black, 60",257,0,NULL,NULL
"LL Road Frame - Black, 44",280,0,NULL,NULL
Fork Crown,31,0,NULL,NULL
"Half-Finger Gloves, L",466,0,NULL,NULL
"HL Mountain Frame - Black, 42",297,0,NULL,NULL
Cup-Shaped Race,177,0,NULL,NULL
"LL Touring Frame - Yellow, 58",509,0,NULL,NULL
Lock Washer 11,154,0,NULL,NULL
Lock Nut 3,134,0,NULL,NULL
"LL Mountain Frame - Black, 44",532,0,NULL,NULL
Chainring,11,0,NULL,NULL
Thin-Jam Lock Nut 13,111,0,NULL,NULL
Hex Nut 5,54,0,NULL,NULL
"HL Mountain Frame - Black, 46",303,0,NULL,NULL
Front Derailleur,552,0,NULL,NULL
"Touring-Panniers, Large",446,0,NULL,NULL
Internal Lock Washer 3,91,0,NULL,NULL
HL Spindle/Axle,197,0,NULL,NULL
"LL Road Frame - Black, 62",260,0,NULL,NULL
"ML Road Frame-W - Yellow, 40",429,0,NULL,NULL
"LL Road Frame - Black, 48",283,0,NULL,NULL
ML Road Handlebars,406,0,NULL,NULL
"Sport-100 Helmet, Blue",220,0,NULL,NULL
"Full-Finger Gloves, M",469,0,NULL,NULL
Thin-Jam Lock Nut 8,114,0,NULL,NULL
ML Road Rear Wheel,423,0,NULL,NULL
Hex Nut 2,68,0,NULL,NULL
"ML Road Frame - Red, 58",277,0,NULL,NULL
Flat Washer 8,28,0,NULL,NULL
